,questions,answers
13579,Wow!,What?
13580,I have to go.,Wrong.
13581,Stay.,I can't.
13582,I can't.,Car pool?
13583,How old are you?,Older.
13584,Older.,Thirty?
13585,Thirty?,Well...
13586,Well...,I'm twenty-eight
13587,I'm twenty-eight,Oh.
13588,Oh.,Older than thirty?
13589,Yea.,I see.
13590,Hello.,Linnea?
13591,Linnea?,Yes.
13592,I can do benefits,How much?
13593,Hello.,Glad to meet you.
13594,For him?,Yes.
13595,Sorry I'm late.,You're not.
13596,You're not.,Where's Bill?
13597,Where's Bill?,Sleeping.
13598,Oh?,I mean...
13599,I mean...,Mary?
13600,Come on.,Just a minute.
13601,Hi.,Hello.
13602,Hello.,I'm Opal.
13603,Why?,Why?
13604,Why?,What?
13605,What?,What? Oh. A film.
13606,Pleasure,Where is she?
13607,Ah... Peter Finch.,Who?
13608,Is that good?,It's not bad.
13609,You think it will?,Sure thing.
13610,More or less.,More or less...
13611,Mickey!,Don't stop!
13612,Lobotomy Bay?,You've heard of it?
13613,Say something.,What?
13614,What?,Anything.
13615,How is it?,Not good.
13616,"You ready, Donut?",Ready.
13617,Ready.,"Wagons, hooaaa!"
13618,How 'bout Manson?,Manson beat you.
13619,I'm sure we will.,Describe Mallory.
13620,Where's it parked?,Out front.
13621,I admire them.,"I do, too."
13622,Yes.,Yes.
13623,The entire wing?,That's my opinion.
13624,That's my opinion.,Jesus...
13625,Roger?,Rockin'!
13626,Rockin'!,Scotty?
13627,Who?,Wayne Gayle.
13628,Wayne Gayle.,Wayne Gayle!
13629,"Ya know, I was.",Really?
13630,Where' you goin'?,Out.
13631,Out.,Want me to come?
13632,Want me to come?,No thanks.
13633,No thanks.,"Come on, honey."
13634,'You Duff Anderson?,That's right.
13635,Yeah.,Where was that?
13636,Where's he at?,I don't know.
13637,Name's Duff.,How 'you doing?
13638,How 'you doing?,Okay.
13639,How 'you doin' man?,Okay.
13640,Hell!,What is it?
13641,Get out of here!,Don't Duff--
13642,"Let's go, Duff.",Take it easy.
13643,"Yeah. Well, I do.",Are you married?
13644,That's right.,I'll see you later.
13645,Four.,What's he like?
13646,How did it go?,What?
13647,What?,Your boy.
13648,Your boy.,"Okay, I guess."
13649,Thank you.,How about it?
13650,Is that so?,"Yeah, that's so."
13651,"Don't, Duff.",Yeah.
13652,Don't do that!,Watch out!
13653,Okay.,Duff--
13654,Where' you goin'?,'Round town.
13655,Just get her drunk.,How 'bout the key?
13656,'See ya.,"'Bye, Jocko."
13657,'You Will Anderson?,Who're you?
13658,Who're you?,I'm Duff.
13659,How about a drink?,Okay.
13660,That's right.,Beat it!
13661,"How you doin', boy?",Okay.
13662,"Going back, huh?",That's right.
13663,Who is?!,"Good-bye, Duff."
13664,Hello.,How are you?
13665,How are you?,"All right, son."
13666,Oh yeah?,I'll be seeing you.
13667,Hi.,He's my son!
13668,He's your son.,"Okay, boy, beat it."
13669,What about her?,Of course...
13670,Tell me the words.,The words?
13671,Jah guides us.,Maybe so...
13672,Never heard of him.,Nobody has.
13673,Yo.,How are we doing?
13674,You're late.,How's the ice?
13675,It's coming.,You haven't got it?
13676,...Feels like you.,Case...
13677,Case...,Shhh...
13678,Shit...,What is it?
13679,I'm still going in.,Hold on.
13680,Get up.,What?
13681,What?,"Well, do you?"
13682,Thanks.,Sure. No problem.
13683,It is?,"Yes, it's lame."
13684,Right. 7:30.,I'm late for lab.
13685,YOU DID.,YOU KNIT?
13686,You're Pam?,If you say so.
13687,Roger in Op/Ed.,Who told!
13688,Now this is cute.,That is lingerie.
13689,Bridgework?,Very romantic.
13690,Hi!,
13691,What is this?,Hidden camera.
13692,Hidden camera.,Wings?
13693,Transitioned?,You crossed over.
13694,Five-- Six--,Eh.
13695,A flack jacket.,A--flack jacket.
13696,Oh my god.,"Dude, you rock!"
13697,Hey there.,Hey. There.
13698,Is that true?,Little known fact.
13699,Better than I...,That's the spirit!
13700,Whoa. Deja Vu.,Sorry. Forgetful.
13701,Dorothy Parker--,You like her?
13702,This seat taken?,Thank you.
13703,Yoooooow.,Don't look down!
13704,Boys.,I know.
13705,Yes.,What?
13706,Why?,I don't know.
13707,Are you having fun?,Yeah. Definitely.
13708,By name.,Lock.
13709,Shock.,Barrel.
13710,Not at all!,We can handle it.
13711,Yes.,For this.
13712,Coming...,Good.  I'm hungry.
13713,Taste it.,No.
13714,No.,Why not?
13715,"Oh, come on Dad...",No.  Upstairs.
13716,Come back here!,Ken!
13717,How come?,"Ah, nothing."
13718,You okay?,"Yeah, yeah, sure."
13719,Here.,What's this?
13720,Any ghosts in here?,"C'mon, cut it out."
13721,Anything?,Uh-uh.  Wait...
13722,Disappointed?,About what?
13723,Whoa!,What is it?
13724,It's gone now.,"Oh, Jesse..."
13725,Hi.,Hi.
13726,'Morning.,"'Morning, honey."
13727,Jess?,Huh?
13728,Huh?,Eggs?
13729,"Okay, I guess.",Making friends?
13730,"Hi, guys.","Hi, Kerry."
13731,You're going out?,We're going to bed.
13732,Horseshit.,"No, she's right."
13733,What's happening?,He's close...
13734,What's that?,I don't know.
13735,Are you okay?,I think so.
13736,Ms. Thompson.,Call me Nancy.
13737,With Hypnocyl?,That's right.
13738,To who?,Doesn't matter.
13739,For what?,The truth.
13740,The truth.,Try me.
13741,What was that?,What?
13742,What?,Listen.
13743,How is he?,Cooling down.
13744,This is stupid.,C'mon.
13745,We're here.,Where...here?
13746,I'm in.,Me too.
13747,I'm a vegetarian.,Oh God.
13748,Oh Jesus.,"Here, let me help."
13749,No thanks.,Coffee?
13750,Coffee?,No.
13751,I forgot my bag.,Oh right.
13752,Here we go.,Thanks.  Well...
13753,Hello.  Hi.  Hi.,Hi.
13754,Hi.,Hello.
13755,Okay.,Okay.
13756,Too complicated.,That's fine.
13757,That's fine.,Busy tomorrow?
13758,Whoopsidaisies.,What did you say?
13759,What did you say?,Nothing.
13760,Nothing.,"Yes, you did."
13761,"Yes, you did.","No, I didn't."
13762,So who left who?,She left me.
13763,She left me.,Why?
13764,Why?,She saw through me.
13765,You've got to go.,Why?
13766,Hi.  Can I come in?,Come in.
13767,Oh please sod off.,Okay.
13768,Wow.,What?
13769,What?,Don't ask.
13770,Hi.,Hello.
13771,Hello.,You disappeared.
13772,Yes...,Who is it?
13773,Excuse me.,Yes.
13774,What's your name?,Rufus.
13775,Anna Scott?,Yes.
13776,Yes.,The movie star?
13777,The movie star?,Yup.
13778,... get fired.,No!
13779,Yes -- sort of...,That's nice.
13780,That's nice.,What?
13781,Da Vinci?,Di Caprio.
13782,What happened?,It was good.
13783,What's your name?,Ahm... Bernie.
13784,Mr. Thacker?,Yes?
13785,Hey.,Hi...
13786,Try 'Flintstone.',What?
13787,Spike!,No -- you're right.
13788,Which floor?,Three.
13789,Yes.,Oh.  Right.
13790,How was she?,Fabulous.
13791,Excuse me.,Yes.
13792,Yes.,Bad news.
13793,Bad news.,What?
13794,Y-y-y-yes...,Tell us about it...
13795,"Get up, Billy.",No! No! No!
13796,Mister McMurphy.,"Yes, ma'am?"
13797,"Yes, ma'am?",Welcome back.
13798,Welcome back.,"Thank you, ma'am."
13799,"So long, kid.",Wh-wh-wh-wh...
13800,Wh-wh-wh-wh...,Shhh...
13801,A bus?,"Y-y-yes, a b-b-bus!"
13802,I-I-I'm w-w-wet...,Go ahead! Go back!
13803,"H-Hey, M-Mack.","Yeah, kid?"
13804,Marry who?,C-C-C-C-Candy!
13805,In ya go...,M-M-M-Mack?
13806,Say it again.,Thank you.
13807,What for?,What for?
13808,"Yeah, Mack?",Come here!
13809,There they are!,"Hey, what's that?"
13810,What?,Shhh...
13811,I'll bet a dollar.,"Me, too..."
13812,Neither do I...,Me too...
13813,"Ya know what, Fred?",What?
13814,What for?,Lobotomy!
13815,Lobotomy!,Lobotomy?
13816,Lobotomy?,That!
13817,Giving up?,Just warmin' up.
13818,I refuse!,I said out!
13819,I said out!,No!
13820,No!,I'm the coach!
13821,I'm the coach!,I just started!
13822,I don't trust you!,Scanlon out!
13823,Gimme a cigarette!,No!
13824,No!,Why not?
13825,When?,Yesterday...
13826,Yesterday...,Who told you that?
13827,Who told you that?,Gary Blinker...
13828,Right!,A nickel.
13829,"Yeah, Mac?",Bye-bye.
13830,Gimme the ball!,No. Me! Me!
13831,I wanna see it...,Me too! Me too!
13832,I wanna go home!,"Yeah, it's cold!"
13833,"Yeah, it's cold!",I'm hungry.
13834,My turn.,No.
13835,Jesus God...,What is it?
13836,He's not!,He is!
13837,"Oh, what was that?",Poker!
13838,Poker!,I see.
13839,"You bet, Doc!",Good. Good.
13840,When?,We'll let you know.
13841,Time out!,Time out!
13842,'Kay!,Shhh!
13843,"Yeah, buddy?",Are you a doctor?
13844,Are you a doctor?,"No, 'fraid not..."
13845,"Oh, yeah?",Yeah!
13846,Somebody's coming!,Shhh!  This way!
13847,Got a cigarette?,Sure...
13848,A dime.,Okay. Who else?
13849,No!,Martini out!
13850,Please follow me.,"You an' me, Chief."
13851,"Oh, yeah...",Yeah...
13852,Who is he?,He's in charge.
13853,He's in charge.,Are you a doctor?
13854,Hi.,Hi.
13855,Yeah!,Big man!
13856,"After you, ma'am.",Thank you.
13857,Huh?,Asshole.
13858,How 'bout twenty?,Now you talkin'.
13859,Now you talkin'.,Bet!
13860,Bet!,Bet you ass...
13861,What happened?,What's that?
13862,What's that?,What?
13863,What?,That!
13864,I thought so.,Is he in an asylum?
13865,Is he in an asylum?,He's dead.
13866,Your mother.,Of course not.
13867,Of course not.,Your grandmother?
13868,Why?,Because.
13869,Were they pen pals?,No.
13870,Who's dying?,Your great aunt.
13871,Your great aunt.,What great aunt?
13872,Oh no.  Do you?,No.
13873,I'm a liberal!,No...
13874,We'll KNOW.,Okaaaaayyyy.
13875,But Faith--,What?...
13876,You...,Hi there...
13877,Congratulations.,Thanks.
13878,Yes.,To the foot doctor.
13879,To the foot doctor.,Yes.
13880,So?,So it wasn't real.
13881,Mickey Spillane.,Mickey Spillane?
13882,Mickey Spillane?,Or Hustler.
13883,"Hi, Peter.",Hi.
13884,Oh.  That's nice.,Yeah.
13885,Hey--,What?
13886,What?,Nice dress.
13887,You okay?,Yeah.
13888,Really?...,Yes.
13889,Hello.,Beautiful place...
13890,Beautiful place...,Sure is.
13891,Tonight?,Any night.
13892,Sure.,You would?  Really?
13893,Wait.,Yes?
13894,Really?,Really...
13895,Scientologist.,Oh.
13896,No.,Is he married?
13897,Is he married?,No.
13898,No.,Is he gay?
13899,What's he do?,"I don't know, Kate."
13900,It's a miracle.,It's a coincidence.
13901,What are you doing?,He fell out.
13902,Ah ha!...,What'd you find?
13903,We're saved!,What is it?
13904,Her brother.,Right.  My brother.
13905,He's heeeeeerrre...,Oh my God.  Where?
13906,Faith--,What?
13907,What?,Good luck.
13908,Packing.,Why?
13909,He's a jerk.,Yes.  He is.
13910,Kate is that you?,Uh huh.
13911,And Larry?...,What about Larry?
13912,And you are?...,Kate.
13913,It's siesta.,Oh.
13914,Giovanni.,Huh?
13915,She's not here.,Where is she?
13916,Thanks.,Sorry...
13917,Then don't.,But my own kid bro
13918,Working hard?,It's a living.
13919,Don't say that!,What the hell!!!
13920,Father Barry.,"Hello, Edie."
13921,Terry...?,Terry... Terry... .
13922,What for?,I don't know.
13923,Wham... .,How do you like it?
13924,How do you like it?,It's quite  nice.
13925,No thanks... .,"Hit me again, Mac."
13926,I don't rate it.,"Go ahead, wear it."
13927,Told him what?,What I did to Joey.
13928,What I did to Joey.,You... .
13929,You... .,What I did to Joey.
13930,Edie...,Get away from me.
13931,Am I on my feet...?,Terry...?
13932,You are like,Pop!
13933,Where you goin'?,Let me by.
13934,Give me that gun.,You go to hell.
13935,You go to hell.,What did you say?
13936,What did you say?,You go to
13937,Down to the wire?,So help me God!
13938,Really?,"Yeah, really!"
13939,Is Johnny in?,No.
13940,No.,No?
13941,You got some nerve.,What do you mean?
13942,Where?,In there.
13943,In there.,It frightens me.
13944,I'm not sure...,What do you mean?
13945,You love me then?,Of course I do.
13946,They are live ones?,"Yes, Master."
13947,He wants us.,Aaahhnnnahnnnn.
13948,"Oh, is this Adele?","Yes, it is."
13949,Ask him his name.,Who are you?
13950,You're good.,Thank you.
13951,Nice disguise.,I'm a tourist.
13952,And she saw you?,"Yes, she did."
13953,You find out?,"Yeah, I did."
13954,Come <i>on</i>.,Shit.
13955,Shit.,What?
13956,"Hello, Daniel.","Daniel Burdon, FBI."
13957,You talked to him?,"In the trunk, yeah?"
13958,You get the key?,They're in 7D.
13959,I bet.  How much?,Another C.
13960,"Good luck, Richard.",Someone down here?
13961,Not until recently.,Nervous?
13962,Nervous?,A little.
13963,That's funny.,"I thought so, too."
13964,You won't do that.,Why not?
13965,You like bourbon?,Love it.
13966,You did?,It smelled.
13967,You believe that?,Why not?
13968,Where?,Outside Adele's.
13969,In the trunk?,The backseat.
13970,I hear six.,When?
13971,When?,Looks like tonight.
13972,For a time.,Meaning?
13973,That time?,There were others.
13974,What-- when?,"Right now, son."
13975,You're a fighter?,How you know that?
13976,How you know that?,I can tell.
13977,I can tell.,I <i>was</i>...
13978,Moselle Miller?,What do you want?
13979,No.,You a lawyer?
13980,It's beautiful.,It's a --
13981,"Oh, he's moved out?",He's about to.
13982,What'd I say?,"""Hey, yourself."""
13983,"""Hey, yourself.""",Huh.
13984,Was it Foley?,Off a tip?
13985,You wave back?,I didn't have time.
13986,Faux goose down.,Still...
13987,He was that good?,"No, I was."
13988,A m-missionary?,"No, like..."
13989,It's Germans!,Kill the bastards!
13990,Land of the free...,Home of the brave!
13991,What's there?,Six P-40's.
13992,Land of the free.,Home of the brave.
13993,I'm out of ammo!,I'm out of fuel!
13994,Danny...,I can't make it.
13995,I can't make it.,Yes you can.
13996,Well...sure.,From the air?
13997,So beautiful!,Hang on.
13998,How'd you get this?,Boxin'.
13999,Boxin'.,Win?
14000,Win?,Yes'm.
14001,What's your name?,"Dorie Miller, 'Mam."
14002,"Hello, Lilla!",Peggy Sue!
14003,Let's go.,"Goodbye, Grandma."
14004,Carol!,Peggy Sue!
14005,How do you feel?,Pretty strange.
14006,Yeah. Like that.,Good.
14007,I'm sorry Charlie.,Save it.
14008,I love you.,I know.
14009,Come back to me.,I'm trying.
14010,I'll never give up.,Then hold me.
14011,Are you for real?,"Touchy, touchy!"
14012,"Terry, slow down.",Okay.
14013,Okay.,Terry! Slow down.
14014,Terry! Slow down.,"What, why?"
14015,It's Charlie!,What a treat.
14016,For me?,Open it.
14017,I have a note.,How do you feel?
14018,How do you feel?,I'm excused.
14019,Sort of.,What about?
14020,What about?,The house payments.
14021,For what?,Maddy's party.
14022,I'm not the maid!,"Way to go, Mom!"
14023,What was?,Dancing with you.
14024,"Hi, Richard.",What are you doing?
14025,What?,You alright?
14026,All set?,All set.
14027,What's his name?,Zowie.
14028,It's weird...,What do you mean?
14029,"Thanks, you guys.","Yeah. Thanks, guys."
14030,One hour!,Drew!
14031,Drew!,I promise!
14032,"Thanks, Charles.","No sweat, buddy."
14033,Client of yours?,Funny.
14034,New baby?,One week old.
14035,One week old.,Congratulations.
14036,Congratulations.,Little baby girl.
14037,Little baby girl.,Kids are great.
14038,Nine.,Continue.
14039,We?,My lover and I.
14040,My lover and I.,Your... lover?
14041,Who'd you get?,What?
14042,What?,Find a lawyer?
14043,What's her name?,Rayisha.
14044,Rayisha.,Rayisha. Very nice.
14045,I'm a law suit.,Not bad.
14046,Not bad.,Get it?
14047,Correct.,You're right.
14048,Uh huh...,Beckett?
14049,What?,Do you... pray?
14050,Yes.,Thank you.
14051,What?,A good start.
14052,Really?,Yes.
14053,Hello?,"Hi, Mom. It's me."
14054,Second.,Great.
14055,Lots.,Who?
14056,Duh...,Since when?
14057,Joe?,Yeah... ?
14058,Julius!,Dr. J.!
14059,'Mean the whispers?,What whispers?
14060,Power cells.,They're coming.
14061,How many you see?,One or two.
14062,One or two.,Audrey?
14063,How many bottles?,Not sure. Ten?
14064,Can we switch?,"What, switch what?"
14065,Hey.,"Hey, who?"
14066,"Hey, who?","Hey, me. Over here."
14067,And him?,Big Evil?
14068,Didn't bite.,What?
14069,Like what?,Like my pistola.
14070,60 years ago.,Wha'?
14071,How much?,79 kilos.
14072,One is all?,For now.
14073,Hasan?,Riddick?
14074,Imam. Slow down.,What?
14075,Where's Mr. Johns?,Which half?
14076,Which half?,You mean....
14077,Take it.,"What, it's broken?"
14078,No.,Neither do I.
14079,Got your sensors?,Yo!
14080,Yo!,Geiger counter?
14081,Geiger counter?,Yo!
14082,Which direction?,That way.
14083,Objection!,Sustained.
14084,Gone.,We're here to stay.
14085,Scarecrows?,Let's take a look.
14086,Can we take a dip?,Okay.
14087,Who put them up?,The Hunt Club.
14088,What is that?,"A man, Dr. Maximus."
14089,Shhhh!,What is this?
14090,What is this?,A hearing.
14091,It's him...Landon.,Which one?
14092,Why not?,It's humiliating.
14093,Bunker...,Where?
14094,You lame Taylor?,What?
14095,Taylor! Francis!,Over here!
14096,Come on man!,No!
14097,First time?,Yeah.
14098,Dawn! That was it!,Dawn...
14099,What are the heads?,Later...
14100,Must be somebody?,...there's nobody.
14101,Indefinitely?,I don't know.
14102,I don't know.,You don't know.
14103,No thanks?,Thank you.
14104,Not tonight.,What's the matter?
14105,Would you mind?,Okay. You win.
14106,Dance?,No thank you.
14107,Want a spike in it?,No thanks.
14108,Bad?,Bad enough.
14109,Want to dance?,Dance? Here?
14110,Dance? Here?,Why not?
14111,Couldn't be.,Then he's-- 
14112,Absolutely sure.,We'll find out.
14113,Well?,You leave it.
14114,Cold?,Frozen.
14115,"Beer or ale, Miss?",Ale. I don't mind.
14116,Ale. I don't mind.,"Right, Miss."
14117,What this?,Yes.
14118,Yes.,Where's you get it?
14119,A thousand.,Got it on you?
14120,Martini.,"You, Killaine?"
14121,What?,A private joke.
14122,I don't.,Well--good night.
14123,Send that?,Would you?
14124,I think so.,Where's the shell?
14125,May you what?,Oh nothing.
14126,What about me?,Not quiet yet.
14127,How about Magruder?,He checks too.
14128,So-so.,Who's the girl?
14129,Right.,"In an hour, Larry."
14130,Shall we go?,Yes.
14131,Attributed?,Of course.
14132,No.  I'd want to--,Good.
14133,Very thoughtful.,"Well, you know..."
14134,I might.,Might?
14135,That'll be fun,In your car
14136,In your car,Why not.
14137,Not here.,To the airlift.
14138,To the airlift.,To the airlift.
14139,To the Fleet.,To the Fleet.
14140,To the Fleet.,And the Argies.
14141,And the Argies.,The Argies.
14142,It's shit.,You approve!
14143,You approve!,Let me see.
14144,Still in love?,I'm not sure.
14145,Hello.,Hello.
14146,What period?,Suez.  1956.
14147,"Hello, Jimmy.",Dad.
14148,Promise?,Promise.
14149,You first!,Okay!
14150,How was the beach?,Fine.
14151,Babes.,What?
14152,Aw shit.,"Nice tattoo, Dietz."
14153,Nothing?,Nothing.
14154,What do you want?,Shrimp and fries.
14155,Who's the girl?,Catch of the day.
14156,Look at you.,What?
14157,Those are cold.,Warm them up.
14158,I'll see you there.,Right behind you.
14159,Thanks.,Anytime.
14160,You saw what?,I saw it.
14161,Hawkins?,I can't tell.
14162,No.,Hope to be?
14163,Nice car.  Yours?,No.
14164,No.,Stolen?
14165,Stolen?,Not exactly.
14166,It pays.,So do day jobs.
14167,For an hour.,You're joking.
14168,Three hundred.,Fine.
